season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
1,1,1,Pilot,James Burrows,Chuck Lorre & Bill Prady,24-09-2007,276023,9520000
1,2,2,The Big Bran Hypothesis,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: Robert Cohen & Dave Goetsch,01-10-2007,3T6601,8580000
1,3,3,The Fuzzy Boots Corollary,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Bill Prady & Steven Molaro,08-10-2007,3T6602,8360000
1,4,4,The Luminous Fish Effect,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: David Litt & Lee Aronsohn,15-10-2007,3T6603,8150000
1,5,5,The Hamburger Postulate,Andrew D. Weyman,Story by: Jennifer GlickmanTeleplay by: Dave Goetsch & Steven Molaro,22-10-2007,3T6604,8810000
1,6,6,The Middle Earth Paradigm,Mark Cendrowski,Story by: Dave GoetschTeleplay by: David Litt & Robert Cohen,29-10-2007,3T6605,8920000
1,7,7,The Dumpling Paradox,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: Lee Aronsohn & Jennifer Glickman,05-11-2007,3T6606,9680000
1,8,8,The Grasshopper Experiment,Ted Wass,Story by: Dave Goetsch & Steven MolaroTeleplay by: Lee Aronsohn & Robert Cohen,12-11-2007,3T6607,9320000
1,9,9,The Cooper-Hofstadter Polarization,Joel Murray,Story by: Bill Prady & Stephen EngelTeleplay by: Chuck Lorre & Lee Aronsohn & Dave Goetsch,17-03-2008,3T6608,9110000
1,10,10,The Loobenfeld Decay,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Bill Prady & Lee Aronsohn,24-03-2008,3T6609,8630000
1,11,11,The Pancake Batter Anomaly,Mark Cendrowski,Story by: Chuck Lorre & Lee AronsohnTeleplay by: Bill Prady & Stephen Engel,31-03-2008,3T6610,8680000
1,12,12,The Jerusalem Duality,Mark Cendrowski,Story by: Jennifer Glickman & Stephen EngelTeleplay by: Dave Goetsch & Steven Molaro,14-04-2008,3T6611,7690000
1,13,13,The Bat Jar Conjecture,Mark Cendrowski,Story by: Stephen Engel & Jennifer GlickmanTeleplay by: Bill Prady & Robert Cohen,21-04-2008,3T6612,7510000
1,14,14,The Nerdvana Annihilation,Mark Cendrowski,Story by: Bill PradyTeleplay by: Stephen Engel & Steven Molaro,28-04-2008,3T6613,8070000
1,15,15,The Pork Chop Indeterminacy,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Lee Aronsohn & Bill Prady,05-05-2008,3T6614,7380000
1,16,16,The Peanut Reaction,Mark Cendrowski,Story by: Bill Prady & Lee AronsohnTeleplay by: Dave Goetsch & Steven Molaro,12-05-2008,3T6615,7790000
1,17,17,The Tangerine Factor,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: Lee Aronsohn & Steven Molaro,19-05-2008,3T6616,7340000
2,1,18,The Bad Fish Paradigm,Mark Cendrowski,Story by: Bill PradyTeleplay by: Dave Goetsch & Steven Molaro,22-09-2008,3T7351,9360000
2,2,19,The Codpiece Topology,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Bill Prady & Lee Aronsohn,29-09-2008,3T7352,8760000
2,3,20,The Barbarian Sublimation,Mark Cendrowski,Story by: Nicole LorreTeleplay by: Steven Molaro & Eric Kaplan,06-10-2008,3T7353,9330000
2,4,21,The Griffin Equivalency,Mark Cendrowski,Story by: Bill Prady & Chuck LorreTeleplay by: Stephen Engel & Tim Doyle,13-10-2008,3T7354,9360000
2,5,22,The Euclid Alternative,Mark Cendrowski,Story by: Bill Prady & Steven MolaroTeleplay by: Lee Aronsohn & Dave Goetsch,20-10-2008,3T7355,9280000
2,6,23,The Cooper-Nowitzki Theorem,Mark Cendrowski,Story by: Stephen Engel & Daley HaggarTeleplay by: Tim Doyle & Richard Rosenstock,03-11-2008,3T7356,9670000
2,7,24,The Panty Piñata Polarization,Mark Cendrowski,Story by: Bill Prady & Tim DoyleTeleplay by: Jennifer Glickman & Steven Molaro,10-11-2008,3T7357,10010000
2,8,25,The Lizard-Spock Expansion,Mark Cendrowski,Story by: Bill PradyTeleplay by: Dave Goetsch & Jennifer Glickman,17-11-2008,3T7358,9760000
2,9,26,The White Asparagus Triangulation,Mark Cendrowski,Story by: Dave Goetsch & Steven MolaroTeleplay by: Stephen Engel & Richard Rosenstock,24-11-2008,3T7359,10190000
2,10,27,The Vartabedian Conundrum,Mark Cendrowski,Story by: Chuck Lorre & Steven MolaroTeleplay by: Bill Prady & Richard Rosenstock,08-12-2008,3T7360,10800000
2,11,28,The Bath Item Gift Hypothesis,Mark Cendrowski,Story by: Bill Prady & Richard RosenstockTeleplay by: Stephen Engel & Eric Kaplan,15-12-2008,3T7361,11420000
2,12,29,The Killer Robot Instability,Mark Cendrowski,Story by: Bill Prady & Richard RosenstockTeleplay by: Steven Molaro & Daley Haggar,12-01-2009,3T7362,11810000
2,13,30,The Friendship Algorithm,Mark Cendrowski,Story by: Bill Prady & Richard RosenstockTeleplay by: Chuck Lorre & Steven Molaro,19-01-2009,3T7363,11100000
2,14,31,The Financial Permeability,Mark Cendrowski,Story by: Chuck Lorre & Steven MolaroTeleplay by: Richard Rosenstock & Eric Kaplan,02-02-2009,3T7364,10890000
2,15,32,The Maternal Capacitance,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: Richard Rosenstock & Steven Molaro,09-02-2009,3T7365,13110000
2,16,33,The Cushion Saturation,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Bill Prady & Lee Aronsohn,02-03-2009,3T7366,10940000
2,17,34,The Terminator Decoupling,Mark Cendrowski,Story by: Bill Prady & Dave GoetschTeleplay by: Tim Doyle & Stephen Engel,09-03-2009,3T7367,9460000
2,18,35,The Work Song Nanocluster,Peter Chakos,Story by: Bill Prady & Lee AronsohnTeleplay by: Dave Goetsch & Richard Rosenstock,16-03-2009,3T7368,9760000
2,19,36,The Dead Hooker Juxtaposition,Mark Cendrowski,Steven Molaro,30-03-2009,3T7369,9770000
2,20,37,The Hofstadter Isotope,Mark Cendrowski,Dave Goetsch,13-04-2009,3T7370,10130000
